City,Latitude,Degrees From Equator,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
Ulcinj,41.9294,41.9294,19.2244,14.0,41.0,20.0,3.6
Naze,28.3667,28.3667,129.4833,21.0,68.0,75.0,11.83
Zlobin,45.2924,45.2924,14.6541,6.0,53.0,0.0,2.06
Arroyo,41.6096,41.6096,-4.7969,8.0,87.0,0.0,3.6
Guanica,17.9716,17.9716,-66.908,23.0,87.0,3.0,3.08
Diamantino,-14.4086,14.4086,-56.4461,25.0,72.0,100.0,1.26
Vallenar,-28.5708,28.5708,-70.7581,14.0,78.0,40.0,0.6
Noumea,-22.2763,22.2763,166.4572,26.0,83.0,90.0,2.06
Bollnas,61.3482,61.3482,16.3946,2.0,55.0,53.0,1.34
Walvis Bay,-22.9575,22.9575,14.5053,14.0,94.0,90.0,3.09
Cayenne,4.9333,4.9333,-52.3333,26.0,94.0,90.0,3.09
Laug,15.0471,15.0471,120.7509,32.0,52.0,75.0,2.06
Broken Hill,-31.95,31.95,141.4333,21.0,35.0,34.0,4.12
Alappuzha,9.49,9.49,76.3264,29.0,72.0,90.0,2.04
Saint-Augustin,51.226,51.226,-58.6502,0.0,98.0,100.0,7.42
Itacoatiara,-3.1431,3.1431,-58.4442,23.0,96.0,94.0,0.99
Lavrentiya,65.5833,65.5833,-171.0,-1.0,88.0,8.0,1.75
Tabuk,17.4189,17.4189,121.4443,32.0,43.0,5.0,3.16
Voznesenskoye,54.89,54.89,42.7569,10.0,75.0,31.0,5.08
Volokonovka,50.4827,50.4827,37.8563,5.0,91.0,100.0,5.89
Sao Bernardo,-3.3614,3.3614,-42.4178,23.0,96.0,99.0,1.07
Nacala,-14.5428,14.5428,40.6728,24.0,91.0,94.0,3.35
Newport,51.5877,51.5877,-2.9984,5.0,73.0,21.0,5.61
Avera,33.194,33.194,-82.5271,12.0,76.0,1.0,2.06
Hurghada,27.2574,27.2574,33.8129,21.0,35.0,0.0,5.14
Roald,62.5833,62.5833,6.1333,0.0,86.0,75.0,1.54
Ferrol,43.4832,43.4832,-8.2369,14.0,100.0,0.0,1.54
Yerofey Pavlovich,53.9667,53.9667,121.9667,10.0,26.0,39.0,5.0
Ostrovnoy,68.0531,68.0531,39.5131,1.0,93.0,100.0,9.69
Hofn,64.2539,64.2539,-15.2082,7.0,75.0,100.0,1.89
Tigil,57.8,57.8,158.6667,0.0,86.0,100.0,2.35
Tiptur,13.2586,13.2586,76.4783,28.0,47.0,1.0,2.15
Klaksvik,62.2266,62.2266,-6.589,6.0,100.0,90.0,2.06
Zlitan,32.4674,32.4674,14.5687,16.0,80.0,97.0,10.16
Les Cayes,18.2,18.2,-73.75,24.0,82.0,14.0,1.11
Hasaki,35.7333,35.7333,140.8333,21.0,55.0,75.0,6.17
Ejura,7.3856,7.3856,-1.3562,25.0,86.0,100.0,2.81
Grafton,42.207,42.207,-71.6856,6.0,45.0,1.0,4.12
Belmonte,-15.8631,15.8631,-38.8828,22.0,88.0,20.0,1.54
Buraydah,26.326,26.326,43.975,24.0,25.0,20.0,1.54
Huangchuan,32.1272,32.1272,115.0394,14.0,94.0,100.0,4.97
Paracuru,-3.41,3.41,-39.0306,25.0,94.0,75.0,1.54
Davila,18.4726,18.4726,120.5763,29.0,74.0,20.0,6.69
Jaque,7.5175,7.5175,-78.1703,26.0,86.0,96.0,1.41
Sinnamary,5.3833,5.3833,-52.95,25.0,90.0,100.0,5.19
Choctaw,35.4976,35.4976,-97.2689,14.0,99.0,100.0,1.34
Cairns,-16.9167,16.9167,145.7667,27.0,74.0,90.0,4.63
Rawson,-43.3002,43.3002,-65.1023,12.0,71.0,6.0,8.2
Nadym,65.5333,65.5333,72.5167,2.0,100.0,100.0,4.49
Chiang Klang,19.2938,19.2938,100.8617,33.0,62.0,0.0,1.54
Pokhara,28.2333,28.2333,83.9833,31.0,15.0,30.0,2.72
San Vicente De Canete,-13.0751,13.0751,-76.3835,20.0,86.0,9.0,2.04
Talara,-4.5772,4.5772,-81.2719,22.0,76.0,29.0,6.47
Novyy Urgal,51.0736,51.0736,132.5642,6.0,27.0,99.0,7.43
Chiang Khong,20.2613,20.2613,100.4046,35.0,52.0,20.0,2.57
Sola,-13.8833,13.8833,167.55,28.0,72.0,92.0,6.36
Luganville,-15.5333,15.5333,167.1667,29.0,70.0,69.0,3.94
Luanda,-8.8368,8.8368,13.2343,24.0,94.0,75.0,1.03
Kutum,14.2,14.2,24.6667,25.0,18.0,34.0,2.64
Grants Pass,42.439,42.439,-123.3284,11.0,30.0,90.0,3.09
Malanje,-9.5402,9.5402,16.341,17.0,97.0,99.0,1.03
Zhezkazgan,47.8043,47.8043,67.7144,8.0,25.0,100.0,13.0
Pangnirtung,66.1451,66.1451,-65.7125,-1.0,85.0,100.0,3.28
South Venice,27.0531,27.0531,-82.4243,22.0,83.0,75.0,4.63
Labytnangi,66.6572,66.6572,66.4183,2.0,99.0,65.0,4.1
Nabire,-3.3667,3.3667,135.4833,30.0,70.0,21.0,2.06
Darhan,49.4867,49.4867,105.9228,5.0,75.0,100.0,2.27
Port-Cartier,50.0334,50.0334,-66.8654,0.0,100.0,75.0,1.03
Kangaatsiaq,68.3065,68.3065,-53.4641,-4.0,79.0,100.0,2.54
Murchison,-41.8,41.8,172.3333,13.0,84.0,84.0,1.6
Linkou,45.3,45.3,130.2833,8.0,39.0,100.0,4.59
Escanaba,45.7453,45.7453,-87.0646,7.0,76.0,90.0,1.54
Bathsheba,13.2167,13.2167,-59.5167,26.0,65.0,40.0,9.26
Ban Nahin,18.2418,18.2418,104.2122,37.0,48.0,54.0,1.81
Sakakah,29.9697,29.9697,40.2064,25.0,13.0,0.0,3.6
Visnes,59.3556,59.3556,5.2242,5.0,56.0,75.0,8.23
Ilebo,-4.3167,4.3167,20.5833,21.0,98.0,100.0,1.48
Kjollefjord,70.9457,70.9457,27.3465,0.0,77.0,100.0,7.16
Knysna,-34.0363,34.0363,23.0471,11.0,100.0,0.0,1.03
Goundam,16.4145,16.4145,-3.6708,29.0,12.0,19.0,2.28
Montmagny,48.9734,48.9734,2.3469,7.0,75.0,0.0,1.54
Kuandian,40.7286,40.7286,124.7847,20.0,39.0,73.0,3.51
Hue,16.4667,16.4667,107.6,34.0,62.0,20.0,3.6
Ornskoldsvik,63.2909,63.2909,18.7153,1.0,75.0,90.0,6.69
Ukiah,39.1502,39.1502,-123.2078,9.0,50.0,20.0,2.06
Bijar,35.8668,35.8668,47.6051,16.0,22.0,87.0,0.89
Katsuura,35.1333,35.1333,140.3,19.0,45.0,75.0,1.54
Srandakan,-7.9386,7.9386,110.2506,29.0,63.0,6.0,4.01
Vila,42.0304,42.0304,-8.1588,13.0,95.0,100.0,0.89
Whitecourt,54.1502,54.1502,-115.6855,-1.0,40.0,40.0,2.06
Ilek,51.5271,51.5271,53.3831,7.0,94.0,100.0,1.75
Shingu,33.7333,33.7333,135.9833,18.0,63.0,75.0,4.63
Quarai,-30.3875,30.3875,-56.4514,19.0,83.0,98.0,0.46
Ahipara,-35.1667,35.1667,173.1667,18.0,71.0,48.0,3.92
Puerto Rico,-26.796,26.796,-55.024,18.0,86.0,84.0,0.42
North Bend,43.4065,43.4065,-124.2243,9.0,87.0,90.0,2.06
Ayia Marina,37.75,37.75,23.5333,15.0,80.0,100.0,5.36
San Juan,-31.5375,31.5375,-68.5364,16.0,69.0,1.0,2.94
Shimoda,34.6667,34.6667,138.95,18.0,48.0,75.0,2.57
Kruisfontein,-34.0033,34.0033,24.7314,14.0,95.0,95.0,1.42
Mindyak,54.0231,54.0231,58.7891,4.0,91.0,100.0,5.6
Ranong,9.9658,9.9658,98.6348,31.0,74.0,75.0,5.14
Vawkavysk,53.1561,53.1561,24.4513,0.0,86.0,40.0,4.0
Dabakala,8.3667,8.3667,-4.4333,25.0,81.0,99.0,2.49
Moree,-29.4667,29.4667,149.85,23.0,27.0,3.0,5.66
Tukrah,32.5341,32.5341,20.5791,24.0,27.0,85.0,12.76
Dehloran,32.6941,32.6941,47.2679,33.0,12.0,97.0,1.22
Taltal,-25.4,25.4,-70.4833,16.0,84.0,9.0,0.33
Fangshan,39.6983,39.6983,115.9925,22.0,49.0,92.0,1.34
Bensonville,6.4461,6.4461,-10.6125,25.0,94.0,20.0,1.45
Binzhou,37.3667,37.3667,118.0167,16.0,62.0,98.0,7.85
Flinders,-34.5833,34.5833,150.8552,22.0,57.0,99.0,1.79
Lunenburg,44.3835,44.3835,-64.3155,6.0,70.0,49.0,6.17
Adre,13.4667,13.4667,22.2,26.0,17.0,42.0,4.21
Terenos,-20.4422,20.4422,-54.8603,23.0,56.0,0.0,4.12
Wagar,16.1525,16.1525,36.2032,32.0,34.0,55.0,2.57
Dublin,37.7021,37.7021,-121.9358,10.0,76.0,40.0,4.12
Zhigansk,66.7697,66.7697,123.3711,-3.0,91.0,100.0,5.98
Guiglo,6.5456,6.5456,-7.4966,23.0,97.0,99.0,0.83
Esperance,-33.8667,33.8667,121.9,25.0,36.0,92.0,4.63
Zhangye,38.9342,38.9342,100.4517,12.0,46.0,86.0,0.84
Udimskiy,61.1417,61.1417,45.9144,8.0,70.0,100.0,3.54
Zalesovo,53.9939,53.9939,84.7431,5.0,62.0,83.0,5.08
Lake City,30.1897,30.1897,-82.6393,18.0,88.0,1.0,2.57
Siavonga,-16.5382,16.5382,28.7088,19.0,75.0,0.0,1.92
Urusha,54.05,54.05,122.9,8.0,30.0,75.0,6.04
Mogadishu,2.0371,2.0371,45.3438,29.0,65.0,75.0,2.06
Guadalajara,20.6667,20.6667,-103.3333,21.0,30.0,1.0,1.82
Taicheng,38.731,38.731,113.228,14.0,51.0,98.0,5.44
Mae Chan,20.1467,20.1467,99.8526,34.0,52.0,20.0,2.57
Rio Grande,-32.035,32.035,-52.0986,17.0,96.0,10.0,4.81
Moose Factory,51.2585,51.2585,-80.6094,-2.0,86.0,90.0,5.66
Abashiri,44.0213,44.0213,144.2697,19.0,27.0,0.0,5.14
Kuminskiy,58.6667,58.6667,66.5667,10.0,46.0,100.0,3.37
Ust-Kulom,61.6864,61.6864,53.6902,9.0,68.0,28.0,3.28
Grand-Lahou,5.1367,5.1367,-5.0242,27.0,84.0,100.0,3.46
Casas Grandes,30.3667,30.3667,-107.95,12.0,22.0,0.0,1.34
San Ramon,37.7799,37.7799,-121.978,10.0,76.0,40.0,4.12
Acapulco,16.8634,16.8634,-99.8901,26.0,66.0,95.0,1.38
Vengerovo,55.6848,55.6848,76.7471,7.0,45.0,54.0,1.85
Brae,60.3964,60.3964,-1.353,6.0,93.0,100.0,0.51
Yantongshan,43.2919,43.2919,126.0094,10.0,43.0,71.0,7.62
Leningradskiy,69.3833,69.3833,178.4167,-3.0,91.0,95.0,2.89
Jieshi,22.8134,22.8134,115.8257,25.0,71.0,21.0,6.83
Kayes,14.0,14.0,-11.0,31.0,14.0,59.0,3.5
Dobryatino,55.5055,55.5055,41.3195,10.0,80.0,23.0,5.3
Sembe,1.6481,1.6481,14.5806,21.0,99.0,100.0,1.08
Russell,32.3502,32.3502,-85.1999,16.0,45.0,75.0,3.09
Kandrian,-6.2167,6.2167,149.55,26.0,84.0,87.0,1.78
Schleiden,50.5295,50.5295,6.477,1.0,86.0,78.0,0.51
Aleksandrovsk-Sakhalinskiy,50.8975,50.8975,142.1561,2.0,75.0,58.0,4.22
Datong,40.0936,40.0936,113.2914,19.0,29.0,58.0,5.45
Vodnyy,63.5046,63.5046,53.4095,7.0,75.0,84.0,2.18
Palmer,42.1584,42.1584,-72.3287,5.0,40.0,1.0,1.92
Taoudenni,22.6783,22.6783,-3.9836,28.0,9.0,0.0,3.59
Khorramshahr,30.4397,30.4397,48.1664,31.0,33.0,100.0,4.12
Soure,-0.7167,0.7167,-48.5233,26.0,85.0,100.0,3.35
Ancud,-41.8697,41.8697,-73.8203,8.0,100.0,40.0,1.36
Leopold,-38.1833,38.1833,144.4667,15.0,94.0,75.0,8.23
Gloversville,43.0528,43.0528,-74.3438,5.0,53.0,1.0,2.57
Bogen,48.9112,48.9112,12.6896,2.0,71.0,21.0,0.45
Wuwei,37.9281,37.9281,102.6414,9.0,67.0,100.0,0.78
Andenes,69.3143,69.3143,16.1194,1.0,80.0,90.0,8.75
Sargodha,32.0836,32.0836,72.6711,29.0,23.0,0.0,1.22
Rivera,-30.9053,30.9053,-55.5508,18.0,67.0,92.0,2.19
Bourail,-21.5667,21.5667,165.4833,25.0,81.0,100.0,3.46
Zambezi,-13.5432,13.5432,23.1047,16.0,76.0,52.0,2.09
Boli,45.7667,45.7667,130.5167,9.0,27.0,100.0,5.63
Uhingen,48.7048,48.7048,9.5857,2.0,78.0,17.0,0.91
Pitimbu,-7.4706,7.4706,-34.8086,24.0,94.0,0.0,1.54
Bubaque,11.2833,11.2833,-15.8333,25.0,69.0,74.0,5.76
Murgab,37.4966,37.4966,61.9714,22.0,46.0,61.0,5.14
Houma,29.5958,29.5958,-90.7195,23.0,94.0,90.0,5.66
Beira,-19.8436,19.8436,34.8389,21.0,94.0,20.0,1.91
Quelimane,-17.8786,17.8786,36.8883,21.0,94.0,20.0,1.03
Basco,20.4487,20.4487,121.9702,25.0,75.0,12.0,4.77
Kerrobert,51.9168,51.9168,-109.1348,-5.0,50.0,20.0,1.03
Mount Isa,-20.7333,20.7333,139.5,30.0,23.0,40.0,4.63
Campbeltown,55.4258,55.4258,-5.6076,7.0,81.0,100.0,10.8
Hay River,60.8156,60.8156,-115.7999,-9.0,73.0,95.0,1.54
Tuatapere,-46.1333,46.1333,167.6833,12.0,80.0,41.0,1.79
Umarkot,25.3616,25.3616,69.7362,36.0,23.0,1.0,5.04
Son La,21.3167,21.3167,103.9,37.0,29.0,25.0,1.11
Port Moresby,-9.4431,9.4431,147.1797,28.0,89.0,75.0,7.72
Ormara,25.2088,25.2088,64.6357,28.0,68.0,0.0,2.35
Hoquiam,46.9809,46.9809,-123.8893,9.0,87.0,90.0,4.12
Karatau,43.1667,43.1667,70.4667,10.0,47.0,100.0,2.85
San Cristobal,7.7669,7.7669,-72.225,22.0,72.0,48.0,0.43
Flin Flon,54.7682,54.7682,-101.865,-6.0,65.0,47.0,0.75
Bonfim,3.0833,3.0833,-59.95,25.0,78.0,91.0,3.9
Evansville,37.9748,37.9748,-87.5558,13.0,54.0,1.0,3.09
Menongue,-14.6585,14.6585,17.691,13.0,62.0,18.0,1.08
Wenling,28.3669,28.3669,121.36,24.0,69.0,98.0,3.99
Alghero,40.5589,40.5589,8.3181,8.0,87.0,0.0,2.06
Yinchuan,38.4681,38.4681,106.2731,10.0,83.0,100.0,3.48
Ciudad Bolivar,8.1222,8.1222,-63.5497,26.0,71.0,50.0,5.69
Wageningen,51.9667,51.9667,5.6667,2.0,93.0,90.0,0.51
Lowestoft,52.4752,52.4752,1.7516,4.0,87.0,100.0,1.03
Terrace,54.5163,54.5163,-128.6035,8.0,49.0,75.0,1.03
Marfino,55.7028,55.7028,37.3822,4.0,93.0,90.0,4.0
Boffa,10.1667,10.1667,-14.0333,24.0,80.0,29.0,1.65
Sergeyevka,53.88,53.88,67.4158,8.0,41.0,100.0,6.36
Torma,58.8128,58.8128,26.7383,2.0,87.0,90.0,5.14
Thiruvananthapuram,8.4833,8.4833,76.9167,33.0,62.0,20.0,4.12
Pathein,16.7833,16.7833,94.7333,36.0,38.0,85.0,6.23
Zyryanka,65.75,65.75,150.85,-8.0,90.0,100.0,8.81
Tilichiki,60.4667,60.4667,166.1,-1.0,89.0,50.0,0.52
Fallon,39.4735,39.4735,-118.7774,17.0,23.0,75.0,3.09
Lichuan,30.3,30.3,108.85,12.0,92.0,100.0,1.71
Puerto Colombia,10.9878,10.9878,-74.9547,27.0,83.0,0.0,4.63
Mandalgovi,45.7625,45.7625,106.2708,13.0,35.0,100.0,12.33
Corrente,-3.7367,3.7367,-43.3394,22.0,98.0,100.0,1.03
Queimadas,-10.9783,10.9783,-39.6264,22.0,97.0,72.0,1.95
Barda,40.3744,40.3744,47.1267,15.0,72.0,40.0,1.54
Lewiston,44.1003,44.1003,-70.2148,7.0,49.0,1.0,3.09
Nouakchott,18.0858,18.0858,-15.9785,19.0,82.0,0.0,5.66
Ithaca,42.4406,42.4406,-76.4966,6.0,46.0,1.0,2.12
Murray Bridge,-35.1167,35.1167,139.2667,18.0,69.0,61.0,5.14
Mackay,-21.15,21.15,149.2,22.0,94.0,75.0,4.63
Pangai,-19.8,19.8,-174.35,28.0,74.0,20.0,3.6
Sao Miguel Do Araguaia,-13.275,13.275,-50.1628,21.0,64.0,24.0,1.83
Marsh Harbour,26.5412,26.5412,-77.0636,23.0,68.0,63.0,6.67
Faya,18.3851,18.3851,42.4509,21.0,28.0,40.0,1.97
Mariental,-24.6333,24.6333,17.9667,18.0,28.0,1.0,3.61
Barra Do Garcas,-15.89,15.89,-52.2567,19.0,66.0,15.0,1.07
Marienburg,54.0359,54.0359,19.0266,3.0,68.0,28.0,4.28
